agent_id,generation_number,fitness,p_11,p_22,p_33,p_44,q_11,q_22,q_33,q_44,r_11,r_22,r_33,r_44
1,1,1.401115162131126,0.27340025210916985,0.2319268108554024,0.24103638156367538,0.5009486524314426,0.009762092936915167,0.014727520082930799,0.010800944569665641,0.019809252782160322,0.005,0.023229343403136184,0.00962056538160678,0.02509357763035492
2,1,1.338717759460579,0.2472647344780619,0.2417159586863338,0.2449290900337202,0.4981373870037568,0.009346570462936502,0.007569008406645461,0.013455308040355713,0.010179165128993653,0.007760633618484511,0.02332106431085431,0.005,0.020305924559046146
3,1,1.4052574595152771,0.2549405292503428,0.2645080823519785,0.2426581403807638,0.5089189422477312,0.01046456812891933,0.005901495748031693,0.007308316169265527,0.014315980707291932,0.006156728004028819,0.005,0.005,0.008031887595920507
4,1,1.218057467557829,0.25256520895169965,0.2572385964534433,0.24891249620519784,0.5049082589921373,0.013633399141347905,0.01240541517154689,0.021507126120953284,0.01161473370125262,0.020637924216879842,0.020194027353365528,0.01600542938261215,0.009079763091249948
5,1,1.7343333484051378,0.24561453819720697,0.24173660960442625,0.28170537255745437,0.5135372442453904,0.010873750027648078,0.020884258756298964,0.009181369952630351,0.005,0.00867073224715516,0.005,0.01452628528574974,0.005
6,1,1.4901421600385847,0.26133112988382307,0.2531726095877381,0.24285482832948954,0.49263105921302086,0.007376754989190309,0.019727150644078456,0.03315198278629753,0.008240673097454649,0.019251930071303915,0.01909558886284158,0.005,0.01714247059489574
7,1,1.6245516444474126,0.23692249457184672,0.25168644476110363,0.2556516852048614,0.4999211707709588,0.00875191079841085,0.016553445902738165,0.010908315874554,0.013166108973107903,0.016779109098696177,0.005,0.00703703672265346,0.005
8,1,1.6058469426284592,0.22473964075015054,0.24681990055919237,0.25498735335648975,0.5023748270824817,0.010921605925539259,0.014291729102048685,0.007851772333103602,0.012792657554364168,0.005,0.029156680874527094,0.005,0.005
9,1,1.4148845349136903,0.22382840285517586,0.23242810727646504,0.2452761476917704,0.5074299663858379,0.005,0.01768311671755704,0.027868303474149585,0.008448143204255618,0.00953892738295507,0.011274892121780082,0.01615516339991723,0.01098996025752279
10,1,1.5346655548172234,0.24127121208016963,0.24427427894782974,0.2504586623149812,0.5014682823642753,0.005,0.009075793475136658,0.02642438586427112,0.005,0.01290209783058704,0.015383380675951476,0.020296659252203673,0.012657698384056566
11,2,5.376990191312053,0.243967460545185,0.2509406321711329,0.2528841094428422,0.49332663908854313,0.019873989313510577,0.0052726166168283,0.019251434834595564,0.01661951745582682,0.019994828835326845,0.010299059566480587,0.006079368067338661,0.005740967215301972
12,2,1.3103527231759007,0.241912927746764,0.23829011601341868,0.2483348015731775,0.5128855045813484,0.014352289984252312,0.01825930858062713,0.01913115614568489,0.014952524149177622,0.009932535309624003,0.013891907028041313,0.015310559049025965,0.018627934328370562
13,2,2.0692778318880314,0.23758606091791445,0.25849290891437404,0.2632271808439665,0.4968321783046972,0.005,0.009424637270832231,0.01579408700781613,0.005,0.01224305191407974,0.013464205700034603,0.009579236444788482,0.010807430372582987
14,2,1.5572794170997843,0.22213202816097743,0.2794179251335487,0.2419908400506338,0.4930974290786965,0.012015602461759903,0.0050517386514120285,0.008326652785872765,0.009130438804538118,0.005,0.005104763142008729,0.020042135347736162,0.007122029075323589
15,2,1.1925921019757386,0.2292763588329246,0.23854607231571126,0.2366597012372233,0.488760781902499,0.005,0.008138833742478977,0.02317114834331009,0.022162153880600846,0.005,0.013940602265163077,0.005,0.015747644872513185
16,2,1.3562181072748776,0.21065152579437868,0.2477530831835347,0.24333031895225968,0.5062133735894596,0.0181036925046574,0.025370005868577974,0.005,0.024951422974432258,0.005,0.03340777102202005,0.005,0.02454012395614978
17,2,1.0784940837027182,0.21334130096683684,0.25350692825450155,0.23485527462283828,0.5005448944402825,0.008578615300958603,0.028386929908035576,0.029625818826516624,0.013531651970070451,0.009829902319577224,0.01885055626000052,0.005,0.02500423036056876
18,2,1.5231275810411984,0.25022683183393146,0.22606100145337762,0.24355517700454052,0.501519500389391,0.022781042174923154,0.010301844358702735,0.027511096952698856,0.005,0.0067272173962193505,0.01678493644935635,0.015918722068692145,0.007037805743669415
19,2,1.0571272033132013,0.25784932691542173,0.2650907072841407,0.27438885388127154,0.5126181602093897,0.04042695622381574,0.008422841296578634,0.011124533918890062,0.020625931623275022,0.008533046231446713,0.005,0.005,0.011462143339832054
20,2,1.3179008482930064,0.2636013603238737,0.2592728742103893,0.23915431851144342,0.5050507516538387,0.023854967948378943,0.00933662783991687,0.024453796272193906,0.009333746541402935,0.029212574784082748,0.020895722284347558,0.013969356252138163,0.01935183683681127
21,3,1.2067971682082632,0.2608641079435988,0.23782921155333564,0.2494305583227183,0.48597074119322176,0.03740420622285207,0.006336016885787458,0.035942311192882645,0.005,0.019624543312261253,0.00877853007485233,0.005,0.005
22,3,0.9644232551011874,0.23372378291458926,0.27116279706817803,0.25187397014030677,0.501798661243156,0.04966438720163421,0.018976481173676476,0.03965600874291797,0.016061130557444184,0.01545635173037652,0.014988079873119498,0.006329278022588042,0.022449579529221685
23,3,1.4390640283866398,0.2635916477653026,0.27447948797854116,0.24256404195381218,0.49054363511432386,0.01050279403829178,0.02836349124721261,0.021752215574316457,0.005,0.005,0.007020075302916696,0.005,0.005
24,3,1.8135497128101934,0.21323841391641718,0.25103359037687517,0.2539058967731763,0.5278833962308078,0.01809531633283567,0.005,0.007117124067889891,0.005,0.006427136495228228,0.005,0.0075782183505815805,0.010535555854542886
25,3,1.7314891673005612,0.2620762151460055,0.2655299626189999,0.2959298802669027,0.49557702028057715,0.03889185056580348,0.008566376699678272,0.013295627033734516,0.005,0.0067986234565056035,0.013965178456913238,0.01186460061858877,0.017704735665024392
26,3,1.260396902475769,0.2173577550807288,0.2435841867644805,0.23580422051181044,0.49421047630944726,0.021828511553429852,0.006674469118271638,0.02369412995346675,0.008947498122368249,0.005,0.01072917718116279,0.005875401599502605,0.012103673835104557
27,3,1.0029223617371903,0.2222937451447034,0.25813016317479337,0.28128595839887316,0.5487634801012875,0.05245757105636987,0.012570475162404143,0.0282408553064943,0.023080188497467086,0.011700450019455895,0.006834290813618833,0.02447447859487333,0.011977103905220544
28,3,1.4065856657587077,0.2315264217654943,0.26388429751060843,0.22654119295556388,0.5062416693789893,0.015598299427363575,0.012693881101410353,0.02975190404483823,0.005,0.005,0.01573437869146476,0.005,0.020093006047958384
29,3,1.4567294037443534,0.2192339114920068,0.27707734014771584,0.23557575119350468,0.4983053356797035,0.009404659800679897,0.005,0.013104139928590617,0.014699117142580636,0.021029038197724528,0.010431599343348415,0.016554099799397277,0.005
30,3,1.1504679105543505,0.27539266909981913,0.2516368114172795,0.24210314525681045,0.49293773903911453,0.005,0.005,0.03687014586979667,0.014023298189384173,0.023508992729804706,0.00827018889038746,0.013579006386071537,0.034216291558151826
31,4,1.226693064832004,0.25079850707068707,0.21844622429211508,0.23914099134033315,0.48100823443702584,0.046478084761856206,0.005,0.023442928545920224,0.013834892345098002,0.012455983812719333,0.011883257731549258,0.005,0.024535770525384897
32,4,1.4693569382791651,0.24769178662353972,0.2637090676027461,0.24505616241221082,0.4913969336504684,0.058253406676366006,0.0313392406111442,0.029417501131797266,0.005,0.02209666706536214,0.005,0.016457056935186915,0.020718473275373937
